scn	ILS.EHZ.AV	59.9570	-153.0703	1.12	5.6309	1
scn	ILI.EHZ.AV	60.0807	-152.9606	0.77	1.3870	1
scn	OPT.EHZ.AV	59.6526	-153.2321	0.60	2.5670	0
scn	OPT.EHZ.AV	59.6526	-153.2321	0.60	2.5670	0


SUBNET	Augustine	59.3626	-153.4350	1
scn	AUH.EHZ.AV	59.3632	-153.4454	0.89	2.2640	1
scn	AUP.EHZ.AV	59.3627	-153.4226	1.03	10.9030	1
scn	AUJK.EHZ.AV	59.3493	-153.4106	0.38	12.2041	1
scn	AUL.EHZ.AV	59.3816	-153.4379	0.36	11.6930	1
scn	AUL.BHE.AV	59.3816	-153.4379	0.36	0.2284	0
scn	AUL.BHN.AV	59.3816	-153.4379	0.36	0.2304	0
scn	AUL.BHZ.AV	59.3816	-153.4379	0.36	0.2476	0
scn	AUW.EHZ.AV	59.3694	-153.4730	0.28	5.8370	1
scn	AUNW.EHZ.AV	59.3775	-153.4790	0.16	0.1160	0
scn	AUI.EHZ.AV	59.3345	-153.4299	0.29	11.7590	1
scn	AUI.EHN.AV	59.3345	-153.4299	0.29	11.2641	0
scn	AUI.EHE.AV	59.3345	-153.4299	0.29	11.3420	0
scn	AUE.EHZ.AV	59.3711	-153.3773	0.17	11.6580	0
scn	OPT.EHZ.AV	59.6526	-153.2321	0.60	2.5670	0
scn	OPT.EHZ.AV	59.6526	-153.2321	0.60	2.5670	0
scn	CDD.EHZ.AV	58.9289	-153.6449	0.62	2.8590	0


SUBNET	Fourpeaked	58.7703	-153.6738	1
scn	FOSS.EHZ.AV	58.7987	-153.6971	1.27	11.0720	0
scn	FOPK.EHZ.AV	58.7574	-153.4762	0.55	5.5491	0
scn	FONW.EHZ.AV	58.8341	-153.9204	0.91	5.6079	1
scn	CDD.EHZ.AV	58.9289	-153.6449	0.62	2.8590	0

SUBNET	KatmaiRegion	58.2790	-154.9533	1
scn	KAWH.EHZ.AV	58.3830	-154.7813	0.78	10.9560	1
scn	KAKN.BHZ.AV	58.2963	-155.0632	1.05	0.2476	0
scn	KAKN.BHE.AV	58.2963	-155.0632	1.05	0.2284	0
scn	KAKN.BHN.AV	58.2963	-155.0632	1.05	0.2304	0
scn	KCG.EHN.AV	58.3069	-155.1135	0.76	11.4190	0
scn	KBM.EHZ.AV	58.2743	-155.2038	0.73	10.9560	1
scn	KCE.EHZ.AV	58.2426	-155.1854	0.78	10.9560	1
scn	ACH.EHZ.AV	58.2100	-155.3281	0.96	11.4190	1
scn	MGLS.EHZ.AV	58.1336	-155.1629	0.47	3.0900	1
scn	KABU.BHZ.AV	58.2702	-155.2843	1.06	0.2476	1
scn	KABU.BHN.AV	58.2702	-155.2843	1.06	0.2304	0
scn	KABU.BHE.AV	58.2702	-155.2843	1.06	0.2284	0
scn	ANCK.EHZ.AV	58.1981	-155.4961	0.87	3.0900	1

SUBNET	Snowy	58.3336	-154.6859	0
scn	KAWH.EHZ.AV	58.3830	-154.7813	0.78	10.9560	1
scn	KARR.EHZ.AV	58.4971	-154.7054	0.61	21.8598	1
scn	KAHG.EHZ.AV	58.4933	-154.5484	0.92	10.9560	1
scn	KAKN.BHZ.AV	58.2963	-155.0632	1.05	0.2476	0
scn	KAKN.BHE.AV	58.2963	-155.0632	1.05	0.2284	0
scn	KAKN.BHN.AV	58.2963	-155.0632	1.05	0.2304	0
scn	KCG.EHE.AV	58.3069	-155.1135	0.76	11.4190	0
scn	KCG.EHN.AV	58.3069	-155.1135	0.76	11.4190	0
scn	KCG.EHZ.AV	58.3069	-155.1135	0.76	11.4190	0
